,Keyword,Company,Ticker,Code,Source,Stock Price
0,Popmart,Pop Mart International Group Limited,9992,HK,yfinance,"12/31/2020: 79.75, 01/31/2021: 72.06, 02/28/2021: 87.54, 03/31/2021: 57.79, 04/30/2021: 62.61, 05/31/2021: 67.68, 06/30/2021: 75.17, 07/31/2021: 55.55, 08/31/2021: 57.35, 09/30/2021: 51.98, 10/31/2021: 44.86, 11/30/2021: 52.62, 12/31/2021: 43.78, 01/31/2022: 37.58, 02/28/2022: 38.22, 03/31/2022: 33.58, 04/30/2022: 35.34, 05/31/2022: 29.53, 06/30/2022: 37.21, 07/31/2022: 17.67, 08/31/2022: 20.08, 09/30/2022: 14.18, 10/31/2022: 9.97, 11/30/2022: 17.02, 12/31/2022: 19.46, 01/31/2023: 24.89, 02/28/2023: 21.40, 03/31/2023: 21.01, 04/30/2023: 18.59, 05/31/2023: 16.98, 06/30/2023: 17.20, 07/31/2023: 21.67, 08/31/2023: 25.17, 09/30/2023: 22.85, 10/31/2023: 21.27, 11/30/2023: 23.15, 12/31/2023: 19.99, 01/31/2024: 17.29, 02/29/2024: 19.33, 03/31/2024: 28.38, 04/30/2024: 33.46, 05/31/2024: 36.95, 06/30/2024: 38.09, 07/31/2024: 41.28, 08/31/2024: 45.66, 09/30/2024: 53.03, 10/31/2024: 70.21, 11/30/2024: 89.48, 12/31/2024: 89.63, 01/31/2025: 93.51, 02/28/2025: 103.77, 03/31/2025: 155.86, 04/30/2025: 193.01, 05/31/2025: 220.40, 06/30/2025: 239.60"
1,Sanrio blind box,Sanrio Company,8136,T,yfinance,"06/30/2020: 551.89, 07/31/2020: 506.23, 08/31/2020: 586.97, 09/30/2020: 626.67, 10/31/2020: 634.28, 11/30/2020: 521.12, 12/31/2020: 466.53, 01/31/2021: 514.50, 02/28/2021: 576.05, 03/31/2021: 580.35, 04/30/2021: 585.64, 05/31/2021: 599.54, 06/30/2021: 650.49, 07/31/2021: 616.08, 08/31/2021: 722.29, 09/30/2021: 855.30, 10/31/2021: 842.07, 11/30/2021: 820.23, 12/31/2021: 826.85, 01/31/2022: 732.22, 02/28/2022: 776.89, 03/31/2022: 829.82, 04/30/2022: 905.59, 05/31/2022: 866.22, 06/30/2022: 1020.74, 07/31/2022: 1010.81, 08/31/2022: 1215.95, 09/30/2022: 1236.06, 10/31/2022: 1317.46, 11/30/2022: 1503.54, 12/31/2022: 1588.27, 01/31/2023: 1641.43, 02/28/2023: 1370.63, 03/31/2023: 1970.38, 04/30/2023: 2086.68, 05/31/2023: 1854.08, 06/30/2023: 2049.13, 07/31/2023: 2199.32, 08/31/2023: 2522.62, 09/30/2023: 2366.67, 10/31/2023: 2133.33, 11/30/2023: 2023.00, 12/31/2023: 1959.67, 01/31/2024: 2062.67, 02/29/2024: 2796.33, 03/31/2024: 3028.00, 04/30/2024: 2669.50, 05/31/2024: 2423.50, 06/30/2024: 2958.00, 07/31/2024: 3216.00, 08/31/2024: 3720.00, 09/30/2024: 4130.00, 10/31/2024: 4182.00, 11/30/2024: 4938.00, 12/31/2024: 5540.00, 01/31/2025: 5830.00, 02/28/2025: 6326.00, 03/31/2025: 6870.00, 04/30/2025: 5684.00, 05/31/2025: 6342.00, 06/30/2025: 6910.00"
2,Wellcore,Bunzl Group,BNZL,LSE,EODHD,"06/30/2020: 2166.00, 07/31/2020: 2198.00, 08/31/2020: 2422.00, 09/30/2020: 2507.00, 10/31/2020: 2400.00, 11/30/2020: 2359.00, 12/31/2020: 2443.00, 01/31/2021: 2350.00, 02/28/2021: 2237.00, 03/31/2021: 2323.00, 04/30/2021: 2327.00, 05/31/2021: 2285.00, 06/30/2021: 2389.00, 07/31/2021: 2666.00, 08/31/2021: 2636.00, 09/30/2021: 2455.00, 10/31/2021: 2702.00, 11/30/2021: 2868.00, 12/31/2021: 2885.00, 01/31/2022: 2767.00, 02/28/2022: 2969.00, 03/31/2022: 2968.00, 04/30/2022: 3103.00, 05/31/2022: 2767.00, 06/30/2022: 2719.00, 07/31/2022: 3071.00, 08/31/2022: 2861.00, 09/30/2022: 2760.00, 10/31/2022: 2841.00, 11/30/2022: 3048.00, 12/31/2022: 2759.00, 01/31/2023: 2970.00, 02/28/2023: 2964.00, 03/31/2023: 3057.00, 04/30/2023: 3164.00, 05/31/2023: 3144.00, 06/30/2023: 2999.00, 07/31/2023: 2888.00, 08/31/2023: 2830.00, 09/30/2023: 2926.00, 10/31/2023: 2932.00, 11/30/2023: 3002.00, 12/31/2023: 3190.00, 01/31/2024: 3215.00, 02/29/2024: 3153.00, 03/31/2024: 3048.00, 04/30/2024: 3074.00, 05/31/2024: 2936.00, 06/30/2024: 3010.00, 07/31/2024: 3258.00, 08/31/2024: 3540.00, 09/30/2024: 3534.00, 10/31/2024: 3412.00, 11/30/2024: 3558.00, 12/31/2024: 3296.00, 01/31/2025: 3448.00, 02/28/2025: 3368.00, 03/31/2025: 2966.00, 04/30/2025: 2350.00, 05/31/2025: 2376.00, 06/30/2025: 2252.00"
3,Cybex gazelle,Goodbaby International Ltd.,1086,HK,yfinance,"06/30/2020: 0.82, 07/31/2020: 1.22, 08/31/2020: 1.08, 09/30/2020: 0.91, 10/31/2020: 0.92, 11/30/2020: 0.95, 12/31/2020: 1.00, 01/31/2021: 0.92, 02/28/2021: 1.12, 03/31/2021: 1.35, 04/30/2021: 1.75, 05/31/2021: 2.36, 06/30/2021: 1.69, 07/31/2021: 1.70, 08/31/2021: 1.22, 09/30/2021: 1.11, 10/31/2021: 1.07, 11/30/2021: 1.08, 12/31/2021: 0.94, 01/31/2022: 1.01, 02/28/2022: 0.89, 03/31/2022: 0.96, 04/30/2022: 0.94, 05/31/2022: 1.02, 06/30/2022: 0.95, 07/31/2022: 0.87, 08/31/2022: 0.75, 09/30/2022: 0.72, 10/31/2022: 0.47, 11/30/2022: 0.53, 12/31/2022: 0.59, 01/31/2023: 0.72, 02/28/2023: 0.64, 03/31/2023: 0.58, 04/30/2023: 0.52, 05/31/2023: 0.55, 06/30/2023: 0.52, 07/31/2023: 0.54, 08/31/2023: 0.51, 09/30/2023: 0.44, 10/31/2023: 0.37, 11/30/2023: 0.52, 12/31/2023: 0.68, 01/31/2024: 0.56, 02/29/2024: 0.61, 03/31/2024: 0.61, 04/30/2024: 0.65, 05/31/2024: 0.51, 06/30/2024: 0.46, 07/31/2024: 0.60, 08/31/2024: 0.60, 09/30/2024: 0.85, 10/31/2024: 0.80, 11/30/2024: 0.84, 12/31/2024: 0.83, 01/31/2025: 1.04, 02/28/2025: 0.94, 03/31/2025: 1.29, 04/30/2025: 1.05, 05/31/2025: 1.16, 06/30/2025: 1.14"
4,Fera pets,General Mills,GIS,US,EODHD,"06/30/2020: 61.65, 07/31/2020: 63.27, 08/31/2020: 63.95, 09/30/2020: 61.68, 10/31/2020: 59.12, 11/30/2020: 60.82, 12/31/2020: 58.80, 01/31/2021: 58.10, 02/28/2021: 55.01, 03/31/2021: 61.32, 04/30/2021: 60.86, 05/31/2021: 62.86, 06/30/2021: 60.93, 07/31/2021: 58.86, 08/31/2021: 57.81, 09/30/2021: 59.82, 10/31/2021: 61.80, 11/30/2021: 61.77, 12/31/2021: 67.38, 01/31/2022: 68.68, 02/28/2022: 67.43, 03/31/2022: 67.72, 04/30/2022: 70.73, 05/31/2022: 69.85, 06/30/2022: 75.45, 07/31/2022: 74.79, 08/31/2022: 76.80, 09/30/2022: 76.61, 10/31/2022: 81.58, 11/30/2022: 85.30, 12/31/2022: 83.85, 01/31/2023: 78.36, 02/28/2023: 79.51, 03/31/2023: 85.46, 04/30/2023: 88.63, 05/31/2023: 84.16, 06/30/2023: 76.70, 07/31/2023: 74.74, 08/31/2023: 67.66, 09/30/2023: 63.99, 10/31/2023: 65.24, 11/30/2023: 63.66, 12/31/2023: 65.14, 01/31/2024: 64.91, 02/29/2024: 64.18, 03/31/2024: 69.97, 04/30/2024: 70.46, 05/31/2024: 68.75, 06/30/2024: 63.26, 07/31/2024: 67.14, 08/31/2024: 72.29, 09/30/2024: 73.85, 10/31/2024: 68.02, 11/30/2024: 66.26, 12/31/2024: 63.77, 01/31/2025: 60.14, 02/28/2025: 60.62, 03/31/2025: 59.79, 04/30/2025: 56.74, 05/31/2025: 54.26, 06/30/2025: 52.96"
5,Peach riot blind box,POP MART,9992,HK,yfinance,"12/31/2020: 79.75, 01/31/2021: 72.06, 02/28/2021: 87.54, 03/31/2021: 57.79, 04/30/2021: 62.61, 05/31/2021: 67.68, 06/30/2021: 75.17, 07/31/2021: 55.55, 08/31/2021: 57.35, 09/30/2021: 51.98, 10/31/2021: 44.86, 11/30/2021: 52.62, 12/31/2021: 43.78, 01/31/2022: 37.58, 02/28/2022: 38.22, 03/31/2022: 33.58, 04/30/2022: 35.34, 05/31/2022: 29.53, 06/30/2022: 37.21, 07/31/2022: 17.67, 08/31/2022: 20.08, 09/30/2022: 14.18, 10/31/2022: 9.97, 11/30/2022: 17.02, 12/31/2022: 19.46, 01/31/2023: 24.89, 02/28/2023: 21.40, 03/31/2023: 21.01, 04/30/2023: 18.59, 05/31/2023: 16.98, 06/30/2023: 17.20, 07/31/2023: 21.67, 08/31/2023: 25.17, 09/30/2023: 22.85, 10/31/2023: 21.27, 11/30/2023: 23.15, 12/31/2023: 19.99, 01/31/2024: 17.29, 02/29/2024: 19.33, 03/31/2024: 28.38, 04/30/2024: 33.46, 05/31/2024: 36.95, 06/30/2024: 38.09, 07/31/2024: 41.28, 08/31/2024: 45.66, 09/30/2024: 53.03, 10/31/2024: 70.21, 11/30/2024: 89.48, 12/31/2024: 89.63, 01/31/2025: 93.51, 02/28/2025: 103.77, 03/31/2025: 155.86, 04/30/2025: 193.01, 05/31/2025: 220.40, 06/30/2025: 239.60"
6,onewind,Spark Power Group Inc.,SPG,TO,EODHD,"06/30/2020: 1.16, 07/31/2020: 1.46, 08/31/2020: 1.94, 09/30/2020: 1.51, 10/31/2020: 1.29, 11/30/2020: 1.54, 12/31/2020: 1.46, 01/31/2021: 2.76, 02/28/2021: 2.12, 03/31/2021: 1.60, 04/30/2021: 1.69, 05/31/2021: 1.84, 06/30/2021: 2.20, 07/31/2021: 2.14, 08/31/2021: 2.25, 09/30/2021: 2.29, 10/31/2021: 2.10, 11/30/2021: 1.59, 12/31/2021: 1.25, 01/31/2022: 1.24, 02/28/2022: 1.25, 03/31/2022: 0.99, 04/30/2022: 0.71, 05/31/2022: 0.76, 06/30/2022: 0.66, 07/31/2022: 0.72, 08/31/2022: 0.81, 09/30/2022: 0.67, 10/31/2022: 0.63, 11/30/2022: 0.55, 12/31/2022: 0.48, 01/31/2023: 0.50, 02/28/2023: 0.55, 03/31/2023: 0.51, 04/30/2023: 0.40, 05/31/2023: 0.37, 06/30/2023: 0.36, 07/31/2023: 0.48, 08/31/2023: 0.49, 09/30/2023: 0.45, 10/31/2023: 0.80, 11/30/2023: 0.80, 12/31/2023: 0.82"
7,PassportCard,White Mountains Insurance Group,WTM,US,EODHD,"06/30/2020: 887.97, 07/31/2020: 880.13, 08/31/2020: 891.40, 09/30/2020: 779.00, 10/31/2020: 908.33, 11/30/2020: 960.00, 12/31/2020: 1000.66, 01/31/2021: 1020.00, 02/28/2021: 1195.06, 03/31/2021: 1114.90, 04/30/2021: 1165.43, 05/31/2021: 1193.36, 06/30/2021: 1148.03, 07/31/2021: 1131.57, 08/31/2021: 1120.81, 09/30/2021: 1069.61, 10/31/2021: 1054.99, 11/30/2021: 1002.90, 12/31/2021: 1013.90, 01/31/2022: 1040.96, 02/28/2022: 1050.20, 03/31/2022: 1136.24, 04/30/2022: 1048.02, 05/31/2022: 1244.86, 06/30/2022: 1246.13, 07/31/2022: 1239.43, 08/31/2022: 1370.00, 09/30/2022: 1303.02, 10/31/2022: 1416.15, 11/30/2022: 1358.86, 12/31/2022: 1414.33, 01/31/2023: 1527.96, 02/28/2023: 1443.57, 03/31/2023: 1377.49, 04/30/2023: 1432.14, 05/31/2023: 1354.19, 06/30/2023: 1388.91, 07/31/2023: 1547.02, 08/31/2023: 1588.69, 09/30/2023: 1495.69, 10/31/2023: 1430.75, 11/30/2023: 1531.92, 12/31/2023: 1505.01, 01/31/2024: 1575.97, 02/29/2024: 1765.44, 03/31/2024: 1794.30, 04/30/2024: 1778.14, 05/31/2024: 1807.00, 06/30/2024: 1817.45, 07/31/2024: 1786.00, 08/31/2024: 1844.24, 09/30/2024: 1696.20, 10/31/2024: 1797.14, 11/30/2024: 2009.99, 12/31/2024: 1945.06, 01/31/2025: 1932.46, 02/28/2025: 1849.50, 03/31/2025: 1925.81, 04/30/2025: 1767.45, 05/31/2025: 1784.80, 06/30/2025: 1750.45"
8,Hiya health,"USANA Health Sciences, Inc.",USNA,US,EODHD,"06/30/2020: 73.43, 07/31/2020: 81.18, 08/31/2020: 78.41, 09/30/2020: 73.65, 10/31/2020: 75.65, 11/30/2020: 75.18, 12/31/2020: 77.10, 01/31/2021: 82.76, 02/28/2021: 97.06, 03/31/2021: 97.60, 04/30/2021: 89.99, 05/31/2021: 105.74, 06/30/2021: 102.43, 07/31/2021: 95.27, 08/31/2021: 97.03, 09/30/2021: 92.20, 10/31/2021: 97.06, 11/30/2021: 99.72, 12/31/2021: 101.20, 01/31/2022: 95.58, 02/28/2022: 88.01, 03/31/2022: 79.45, 04/30/2022: 76.66, 05/31/2022: 70.33, 06/30/2022: 72.36, 07/31/2022: 69.62, 08/31/2022: 64.52, 09/30/2022: 56.05, 10/31/2022: 52.51, 11/30/2022: 55.04, 12/31/2022: 53.20, 01/31/2023: 58.44, 02/28/2023: 60.78, 03/31/2023: 62.90, 04/30/2023: 66.37, 05/31/2023: 60.67, 06/30/2023: 63.04, 07/31/2023: 64.91, 08/31/2023: 64.29, 09/30/2023: 58.61, 10/31/2023: 45.55, 11/30/2023: 47.26, 12/31/2023: 53.60, 01/31/2024: 46.82, 02/29/2024: 48.26, 03/31/2024: 48.50, 04/30/2024: 41.52, 05/31/2024: 47.60, 06/30/2024: 45.24, 07/31/2024: 44.60, 08/31/2024: 40.82, 09/30/2024: 37.92, 10/31/2024: 36.94, 11/30/2024: 38.53, 12/31/2024: 35.89, 01/31/2025: 32.57, 02/28/2025: 29.59, 03/31/2025: 26.97, 04/30/2025: 28.09, 05/31/2025: 29.87, 06/30/2025: 30.44"
9,Radius recycling,"Radius Recycling, Inc.",RDUS,US,EODHD,"06/30/2020: 17.64, 07/31/2020: 18.40, 08/31/2020: 19.74, 09/30/2020: 19.23, 10/31/2020: 21.00, 11/30/2020: 25.62, 12/31/2020: 31.91, 01/31/2021: 29.52, 02/28/2021: 34.54, 03/31/2021: 41.79, 04/30/2021: 47.21, 05/31/2021: 54.48, 06/30/2021: 49.05, 07/31/2021: 52.42, 08/31/2021: 47.31, 09/30/2021: 43.81, 10/31/2021: 53.80, 11/30/2021: 48.10, 12/31/2021: 51.92, 01/31/2022: 39.14, 02/28/2022: 48.65, 03/31/2022: 51.94, 04/30/2022: 45.63, 05/31/2022: 40.62, 06/30/2022: 32.84, 07/31/2022: 35.56, 08/31/2022: 33.04, 09/30/2022: 28.46, 10/31/2022: 26.99, 11/30/2022: 34.33, 12/31/2022: 30.65, 01/31/2023: 33.84, 02/28/2023: 32.69, 03/31/2023: 31.10, 04/30/2023: 28.89, 05/31/2023: 27.51, 06/30/2023: 29.99, 07/31/2023: 36.21, 08/31/2023: 33.20, 09/30/2023: 27.85, 10/31/2023: 22.71, 11/30/2023: 25.63, 12/31/2023: 30.16, 01/31/2024: 26.33, 02/29/2024: 19.76, 03/31/2024: 21.13, 04/30/2024: 17.42, 05/31/2024: 17.11, 06/30/2024: 15.27, 07/31/2024: 18.12, 08/31/2024: 15.14, 09/30/2024: 18.54, 10/31/2024: 16.19, 11/30/2024: 19.82, 12/31/2024: 15.22, 01/31/2025: 12.01, 02/28/2025: 13.83, 03/31/2025: 28.88, 04/30/2025: 29.33, 05/31/2025: 29.61, 06/30/2025: 29.64"
10,Owlet dream,"Owlet, Inc.",OWLT,US,EODHD,"11/30/2020: 9.75, 12/31/2020: 10.17, 01/31/2021: 10.30, 02/28/2021: 10.14, 03/31/2021: 9.91, 04/30/2021: 9.96, 05/31/2021: 9.94, 06/30/2021: 9.98, 07/31/2021: 9.91, 08/31/2021: 6.14, 09/30/2021: 5.59, 10/31/2021: 3.58, 11/30/2021: 4.53, 12/31/2021: 2.67, 01/31/2022: 1.85, 02/28/2022: 2.63, 03/31/2022: 4.45, 04/30/2022: 3.73, 05/31/2022: 4.80, 06/30/2022: 1.70, 07/31/2022: 2.13, 08/31/2022: 1.62, 09/30/2022: 1.07, 10/31/2022: 0.96, 11/30/2022: 0.83, 12/31/2022: 0.56, 01/31/2023: 0.41, 02/28/2023: 0.37, 03/31/2023: 0.32, 04/30/2023: 0.31, 05/31/2023: 0.22, 06/30/2023: 0.34, 07/31/2023: 4.82, 08/31/2023: 3.07, 09/30/2023: 4.48, 10/31/2023: 4.05, 11/30/2023: 5.03, 12/31/2023: 5.28, 01/31/2024: 4.89, 02/29/2024: 5.68, 03/31/2024: 4.31, 04/30/2024: 4.40, 05/31/2024: 3.69, 06/30/2024: 4.12, 07/31/2024: 4.43, 08/31/2024: 4.49, 09/30/2024: 4.49, 10/31/2024: 5.20, 11/30/2024: 4.86, 12/31/2024: 4.45, 01/31/2025: 4.46, 02/28/2025: 4.52, 03/31/2025: 3.68, 04/30/2025: 4.18, 05/31/2025: 5.41, 06/30/2025: 7.09"
11,Nuuly,Urban Outfitters,URBN,US,EODHD,"06/30/2020: 15.22, 07/31/2020: 16.54, 08/31/2020: 23.54, 09/30/2020: 20.81, 10/31/2020: 22.34, 11/30/2020: 27.38, 12/31/2020: 25.60, 01/31/2021: 27.43, 02/28/2021: 33.90, 03/31/2021: 37.19, 04/30/2021: 35.90, 05/31/2021: 39.16, 06/30/2021: 41.22, 07/31/2021: 37.18, 08/31/2021: 33.02, 09/30/2021: 29.69, 10/31/2021: 31.93, 11/30/2021: 31.67, 12/31/2021: 29.36, 01/31/2022: 28.72, 02/28/2022: 27.51, 03/31/2022: 25.11, 04/30/2022: 23.80, 05/31/2022: 21.05, 06/30/2022: 18.66, 07/31/2022: 20.48, 08/31/2022: 20.13, 09/30/2022: 19.65, 10/31/2022: 23.86, 11/30/2022: 28.94, 12/31/2022: 23.85, 01/31/2023: 27.39, 02/28/2023: 26.95, 03/31/2023: 27.72, 04/30/2023: 27.06, 05/31/2023: 30.82, 06/30/2023: 33.13, 07/31/2023: 36.37, 08/31/2023: 33.21, 09/30/2023: 32.69, 10/31/2023: 34.62, 11/30/2023: 35.70, 12/31/2023: 35.69, 01/31/2024: 38.00, 02/29/2024: 41.55, 03/31/2024: 43.42, 04/30/2024: 38.96, 05/31/2024: 41.71, 06/30/2024: 41.05, 07/31/2024: 46.05, 08/31/2024: 36.32, 09/30/2024: 38.31, 10/31/2024: 35.95, 11/30/2024: 48.73, 12/31/2024: 54.88, 01/31/2025: 55.42, 02/28/2025: 58.19, 03/31/2025: 52.40, 04/30/2025: 52.78, 05/31/2025: 69.90, 06/30/2025: 68.86"
12,Runna,"Strava, Inc.",STRV,US,EODHD,"09/30/2022: 22.80, 10/31/2022: 24.59, 11/30/2022: 25.85, 12/31/2022: 24.26, 01/31/2023: 25.82, 02/28/2023: 25.26, 03/31/2023: 26.11, 04/30/2023: 26.46, 05/31/2023: 26.70, 06/30/2023: 28.34, 07/31/2023: 29.31, 08/31/2023: 28.85, 09/30/2023: 27.40, 10/31/2023: 26.82, 11/30/2023: 29.34, 12/31/2023: 30.57, 01/31/2024: 31.00, 02/29/2024: 32.74, 03/31/2024: 33.66, 04/30/2024: 32.28, 05/31/2024: 33.82, 06/30/2024: 34.97, 07/31/2024: 35.34, 08/31/2024: 36.19, 09/30/2024: 36.84, 10/31/2024: 36.58, 11/30/2024: 38.90, 12/31/2024: 37.80, 01/31/2025: 38.98, 02/28/2025: 38.29, 03/31/2025: 36.06, 04/30/2025: 35.74, 05/31/2025: 38.15, 06/30/2025: 38.68"
13,Mathway,"Chegg, Inc.",CHGG,US,EODHD,"06/30/2020: 67.26, 07/31/2020: 80.97, 08/31/2020: 73.74, 09/30/2020: 71.44, 10/31/2020: 73.44, 11/30/2020: 77.93, 12/31/2020: 90.33, 01/31/2021: 95.26, 02/28/2021: 96.53, 03/31/2021: 85.66, 04/30/2021: 90.33, 05/31/2021: 76.91, 06/30/2021: 83.11, 07/31/2021: 88.63, 08/31/2021: 83.22, 09/30/2021: 68.02, 10/31/2021: 59.44, 11/30/2021: 27.85, 12/31/2021: 30.70, 01/31/2022: 26.47, 02/28/2022: 31.27, 03/31/2022: 36.28, 04/30/2022: 24.74, 05/31/2022: 19.46, 06/30/2022: 18.78, 07/31/2022: 21.30, 08/31/2022: 19.68, 09/30/2022: 21.07, 10/31/2022: 21.57, 11/30/2022: 29.84, 12/31/2022: 25.27, 01/31/2023: 20.76, 02/28/2023: 15.89, 03/31/2023: 16.30, 04/30/2023: 17.98, 05/31/2023: 8.98, 06/30/2023: 8.88, 07/31/2023: 10.13, 08/31/2023: 10.21, 09/30/2023: 8.92, 10/31/2023: 7.53, 11/30/2023: 9.93, 12/31/2023: 11.36, 01/31/2024: 9.85, 02/29/2024: 8.94, 03/31/2024: 7.57, 04/30/2024: 5.17, 05/31/2024: 3.83, 06/30/2024: 3.16, 07/31/2024: 3.41, 08/31/2024: 2.16, 09/30/2024: 1.77, 10/31/2024: 1.60, 11/30/2024: 2.11, 12/31/2024: 1.61, 01/31/2025: 1.54, 02/28/2025: 1.09, 03/31/2025: 0.64, 04/30/2025: 0.73, 05/31/2025: 1.02, 06/30/2025: 1.44"
