,Keyword,Company,Ticker,Code,Source,Stock Price
14,wellio,The Kraft Heinz Company,KHC,US,EODHD,"06/30/2020: 31.89, 07/31/2020: 34.38, 08/31/2020: 35.04, 09/30/2020: 29.95, 10/31/2020: 30.59, 11/30/2020: 32.94, 12/31/2020: 34.66, 01/31/2021: 33.51, 02/28/2021: 36.38, 03/31/2021: 40.00, 04/30/2021: 41.29, 05/31/2021: 43.59, 06/30/2021: 40.78, 07/31/2021: 38.47, 08/31/2021: 35.99, 09/30/2021: 36.82, 10/31/2021: 35.89, 11/30/2021: 33.61, 12/31/2021: 35.90, 01/31/2022: 35.80, 02/28/2022: 39.22, 03/31/2022: 39.39, 04/30/2022: 42.63, 05/31/2022: 37.83, 06/30/2022: 38.14, 07/31/2022: 36.83, 08/31/2022: 37.40, 09/30/2022: 33.35, 10/31/2022: 38.47, 11/30/2022: 39.35, 12/31/2022: 40.71, 01/31/2023: 40.53, 02/28/2023: 38.94, 03/31/2023: 38.67, 04/30/2023: 39.27, 05/31/2023: 38.22, 06/30/2023: 35.50, 07/31/2023: 36.18, 08/31/2023: 33.09, 09/30/2023: 33.64, 10/31/2023: 31.46, 11/30/2023: 35.11, 12/31/2023: 36.98, 01/31/2024: 37.13, 02/29/2024: 35.28, 03/31/2024: 36.90, 04/30/2024: 38.61, 05/31/2024: 35.37, 06/30/2024: 32.22, 07/31/2024: 35.21, 08/31/2024: 35.43, 09/30/2024: 35.11, 10/31/2024: 33.46, 11/30/2024: 31.97, 12/31/2024: 30.71, 01/31/2025: 29.84, 02/28/2025: 30.71, 03/31/2025: 30.43, 04/30/2025: 29.10, 05/31/2025: 26.73, 06/30/2025: 25.68"
15,Haeckels,Estée Lauder Companies,EL,US,EODHD,"06/30/2020: 188.68, 07/31/2020: 197.54, 08/31/2020: 221.72, 09/30/2020: 218.25, 10/31/2020: 219.66, 11/30/2020: 245.32, 12/31/2020: 266.19, 01/31/2021: 236.65, 02/28/2021: 285.86, 03/31/2021: 290.85, 04/30/2021: 313.80, 05/31/2021: 306.52, 06/30/2021: 318.08, 07/31/2021: 333.83, 08/31/2021: 340.49, 09/30/2021: 299.93, 10/31/2021: 324.33, 11/30/2021: 332.07, 12/31/2021: 370.20, 01/31/2022: 311.79, 02/28/2022: 296.33, 03/31/2022: 272.32, 04/30/2022: 264.06, 05/31/2022: 254.65, 06/30/2022: 254.67, 07/31/2022: 273.10, 08/31/2022: 254.38, 09/30/2022: 215.90, 10/31/2022: 200.49, 11/30/2022: 235.79, 12/31/2022: 248.11, 01/31/2023: 277.08, 02/28/2023: 243.05, 03/31/2023: 246.46, 04/30/2023: 246.72, 05/31/2023: 184.03, 06/30/2023: 196.38, 07/31/2023: 180.00, 08/31/2023: 160.53, 09/30/2023: 144.55, 10/31/2023: 128.87, 11/30/2023: 127.69, 12/31/2023: 146.25, 01/31/2024: 131.99, 02/29/2024: 148.58, 03/31/2024: 154.15, 04/30/2024: 146.71, 05/31/2024: 123.36, 06/30/2024: 106.40, 07/31/2024: 99.61, 08/31/2024: 91.66, 09/30/2024: 99.69, 10/31/2024: 68.94, 11/30/2024: 72.12, 12/31/2024: 74.98, 01/31/2025: 83.43, 02/28/2025: 71.91, 03/31/2025: 66.00, 04/30/2025: 59.96, 05/31/2025: 66.94, 06/30/2025: 74.72"
16,Viator,Tripadvisor,TRIP,US,EODHD,"06/30/2020: 19.01, 07/31/2020: 20.23, 08/31/2020: 23.37, 09/30/2020: 19.59, 10/31/2020: 19.11, 11/30/2020: 26.10, 12/31/2020: 28.78, 01/31/2021: 30.97, 02/28/2021: 49.62, 03/31/2021: 53.79, 04/30/2021: 47.13, 05/31/2021: 43.45, 06/30/2021: 40.30, 07/31/2021: 37.95, 08/31/2021: 35.00, 09/30/2021: 33.85, 10/31/2021: 32.97, 11/30/2021: 25.86, 12/31/2021: 27.26, 01/31/2022: 27.15, 02/28/2022: 25.44, 03/31/2022: 27.12, 04/30/2022: 25.67, 05/31/2022: 24.84, 06/30/2022: 17.80, 07/31/2022: 19.01, 08/31/2022: 23.80, 09/30/2022: 22.08, 10/31/2022: 23.62, 11/30/2022: 20.39, 12/31/2022: 17.98, 01/31/2023: 23.30, 02/28/2023: 21.57, 03/31/2023: 19.86, 04/30/2023: 17.73, 05/31/2023: 15.56, 06/30/2023: 16.49, 07/31/2023: 18.65, 08/31/2023: 15.11, 09/30/2023: 16.58, 10/31/2023: 14.76, 11/30/2023: 17.83, 12/31/2023: 21.53, 01/31/2024: 21.60, 02/29/2024: 26.82, 03/31/2024: 27.79, 04/30/2024: 26.33, 05/31/2024: 18.35, 06/30/2024: 17.81, 07/31/2024: 17.63, 08/31/2024: 14.51, 09/30/2024: 14.49, 10/31/2024: 16.04, 11/30/2024: 14.33, 12/31/2024: 14.77, 01/31/2025: 17.56, 02/28/2025: 14.80, 03/31/2025: 14.17, 04/30/2025: 12.45, 05/31/2025: 14.24, 06/30/2025: 13.04"
17,TripIt,SAP SE,SAP,XETRA,EODHD,"06/30/2020: 124.32, 07/31/2020: 133.78, 08/31/2020: 138.04, 09/30/2020: 132.76, 10/31/2020: 91.49, 11/30/2020: 101.98, 12/31/2020: 107.22, 01/31/2021: 104.80, 02/28/2021: 102.06, 03/31/2021: 104.42, 04/30/2021: 116.76, 05/31/2021: 113.52, 06/30/2021: 118.84, 07/31/2021: 120.84, 08/31/2021: 127.46, 09/30/2021: 116.88, 10/31/2021: 125.32, 11/30/2021: 113.18, 12/31/2021: 124.90, 01/31/2022: 110.40, 02/28/2022: 101.32, 03/31/2022: 101.12, 04/30/2022: 97.56, 05/31/2022: 92.79, 06/30/2022: 86.93, 07/31/2022: 90.68, 08/31/2022: 84.94, 09/30/2022: 84.12, 10/31/2022: 97.67, 11/30/2022: 104.46, 12/31/2022: 96.39, 01/31/2023: 108.38, 02/28/2023: 107.48, 03/31/2023: 116.06, 04/30/2023: 122.86, 05/31/2023: 122.18, 06/30/2023: 125.14, 07/31/2023: 124.40, 08/31/2023: 128.82, 09/30/2023: 122.82, 10/31/2023: 126.74, 11/30/2023: 145.48, 12/31/2023: 139.48, 01/31/2024: 160.80, 02/29/2024: 172.88, 03/31/2024: 180.46, 04/30/2024: 169.70, 05/31/2024: 165.96, 06/30/2024: 189.52, 07/31/2024: 195.02, 08/31/2024: 197.72, 09/30/2024: 204.40, 10/31/2024: 214.80, 11/30/2024: 224.90, 12/31/2024: 236.30, 01/31/2025: 268.50, 02/28/2025: 265.30, 03/31/2025: 244.40, 04/30/2025: 255.30, 05/31/2025: 265.90, 06/30/2025: 247.75"
18,Ev3,Medtronic,MDT,US,EODHD,"06/30/2020: 91.70, 07/31/2020: 96.48, 08/31/2020: 107.47, 09/30/2020: 103.92, 10/31/2020: 100.57, 11/30/2020: 113.70, 12/31/2020: 117.14, 01/31/2021: 111.33, 02/28/2021: 116.97, 03/31/2021: 118.13, 04/30/2021: 130.92, 05/31/2021: 126.59, 06/30/2021: 124.13, 07/31/2021: 131.31, 08/31/2021: 133.48, 09/30/2021: 125.35, 10/31/2021: 119.86, 11/30/2021: 106.70, 12/31/2021: 103.45, 01/31/2022: 103.49, 02/28/2022: 104.99, 03/31/2022: 110.95, 04/30/2022: 104.36, 05/31/2022: 100.15, 06/30/2022: 89.75, 07/31/2022: 92.52, 08/31/2022: 87.92, 09/30/2022: 80.75, 10/31/2022: 87.34, 11/30/2022: 79.04, 12/31/2022: 77.72, 01/31/2023: 83.69, 02/28/2023: 82.80, 03/31/2023: 80.62, 04/30/2023: 90.95, 05/31/2023: 82.76, 06/30/2023: 88.10, 07/31/2023: 87.76, 08/31/2023: 81.50, 09/30/2023: 78.36, 10/31/2023: 70.56, 11/30/2023: 79.27, 12/31/2023: 82.38, 01/31/2024: 87.54, 02/29/2024: 83.36, 03/31/2024: 87.15, 04/30/2024: 80.24, 05/31/2024: 81.37, 06/30/2024: 78.71, 07/31/2024: 80.32, 08/31/2024: 88.58, 09/30/2024: 90.03, 10/31/2024: 89.25, 11/30/2024: 86.54, 12/31/2024: 79.88, 01/31/2025: 90.82, 02/28/2025: 92.02, 03/31/2025: 89.86, 04/30/2025: 84.76, 05/31/2025: 82.98, 06/30/2025: 85.73"
19,Edgard & Cooper,General Mills,GIS,US,EODHD,"06/30/2020: 61.65, 07/31/2020: 63.27, 08/31/2020: 63.95, 09/30/2020: 61.68, 10/31/2020: 59.12, 11/30/2020: 60.82, 12/31/2020: 58.80, 01/31/2021: 58.10, 02/28/2021: 55.01, 03/31/2021: 61.32, 04/30/2021: 60.86, 05/31/2021: 62.86, 06/30/2021: 60.93, 07/31/2021: 58.86, 08/31/2021: 57.81, 09/30/2021: 59.82, 10/31/2021: 61.80, 11/30/2021: 61.77, 12/31/2021: 67.38, 01/31/2022: 68.68, 02/28/2022: 67.43, 03/31/2022: 67.72, 04/30/2022: 70.73, 05/31/2022: 69.85, 06/30/2022: 75.45, 07/31/2022: 74.79, 08/31/2022: 76.80, 09/30/2022: 76.61, 10/31/2022: 81.58, 11/30/2022: 85.30, 12/31/2022: 83.85, 01/31/2023: 78.36, 02/28/2023: 79.51, 03/31/2023: 85.46, 04/30/2023: 88.63, 05/31/2023: 84.16, 06/30/2023: 76.70, 07/31/2023: 74.74, 08/31/2023: 67.66, 09/30/2023: 63.99, 10/31/2023: 65.24, 11/30/2023: 63.66, 12/31/2023: 65.14, 01/31/2024: 64.91, 02/29/2024: 64.18, 03/31/2024: 69.97, 04/30/2024: 70.46, 05/31/2024: 68.75, 06/30/2024: 63.26, 07/31/2024: 67.14, 08/31/2024: 72.29, 09/30/2024: 73.85, 10/31/2024: 68.02, 11/30/2024: 66.26, 12/31/2024: 63.77, 01/31/2025: 60.14, 02/28/2025: 60.62, 03/31/2025: 59.79, 04/30/2025: 56.74, 05/31/2025: 54.26, 06/30/2025: 52.96"
20,Insendi,Study Group,STG,LSE,EODHD,"02/28/2022: 170.00, 03/31/2022: 152.50, 04/30/2022: 152.50, 05/31/2022: 97.50, 06/30/2022: 99.00, 07/31/2022: 102.50, 08/31/2022: 72.50, 09/30/2022: 60.00, 10/31/2022: 72.50, 11/30/2022: 70.00, 12/31/2022: 65.00, 01/31/2023: 65.00, 02/28/2023: 55.00, 03/31/2023: 45.00, 04/30/2023: 52.50, 05/31/2023: 37.50, 06/30/2023: 65.00, 07/31/2023: 55.00, 08/31/2023: 67.50, 09/30/2023: 65.00, 10/31/2023: 42.50, 11/30/2023: 42.50, 12/31/2023: 42.50, 01/31/2024: 45.00, 02/29/2024: 37.50, 03/31/2024: 34.00, 04/30/2024: 46.00, 05/31/2024: 46.00, 06/30/2024: 57.00, 07/31/2024: 42.50, 08/31/2024: 42.50, 09/30/2024: 35.00, 10/31/2024: 37.50, 11/30/2024: 36.50, 12/31/2024: 38.50, 01/31/2025: 32.50, 02/28/2025: 24.50, 03/31/2025: 18.50, 04/30/2025: 18.50, 05/31/2025: 19.00, 06/30/2025: 24.50"
21,Reply,Reply S.p.A.,REY,MI,yfinance,"06/30/2020: 69.30, 07/31/2020: 74.75, 08/31/2020: 89.70, 09/30/2020: 94.95, 10/31/2020: 89.02, 11/30/2020: 90.37, 12/31/2020: 91.92, 01/31/2021: 97.41, 02/28/2021: 92.69, 03/31/2021: 104.07, 04/30/2021: 109.08, 05/31/2021: 127.37, 06/30/2021: 134.34, 07/31/2021: 146.07, 08/31/2021: 165.65, 09/30/2021: 154.51, 10/31/2021: 162.55, 11/30/2021: 166.04, 12/31/2021: 173.21, 01/31/2022: 143.55, 02/28/2022: 141.23, 03/31/2022: 145.39, 04/30/2022: 136.96, 05/31/2022: 123.64, 06/30/2022: 112.91, 07/31/2022: 124.91, 08/31/2022: 114.96, 09/30/2022: 105.00, 10/31/2022: 107.44, 11/30/2022: 110.08, 12/31/2022: 104.42, 01/31/2023: 116.03, 02/28/2023: 111.05, 03/31/2023: 112.71, 04/30/2023: 102.95, 05/31/2023: 99.69, 06/30/2023: 102.55, 07/31/2023: 97.13, 08/31/2023: 93.04, 09/30/2023: 87.72, 10/31/2023: 87.53, 11/30/2023: 105.60, 12/31/2023: 117.72, 01/31/2024: 125.60, 02/29/2024: 126.29, 03/31/2024: 129.24, 04/30/2024: 121.17, 05/31/2024: 125.43, 06/30/2024: 136.75, 07/31/2024: 130.20, 08/31/2024: 141.61, 09/30/2024: 134.17, 10/31/2024: 139.23, 11/30/2024: 150.34, 12/31/2024: 152.23, 01/31/2025: 158.38, 02/28/2025: 153.02, 03/31/2025: 149.65, 04/30/2025: 155.60, 05/31/2025: 148.50, 06/30/2025: 144.30"
22,Loungebuddy,American Express,AXP,US,EODHD,"06/30/2020: 95.20, 07/31/2020: 93.32, 08/31/2020: 101.59, 09/30/2020: 100.25, 10/31/2020: 91.24, 11/30/2020: 118.59, 12/31/2020: 120.91, 01/31/2021: 116.26, 02/28/2021: 135.26, 03/31/2021: 141.44, 04/30/2021: 153.35, 05/31/2021: 160.13, 06/30/2021: 165.23, 07/31/2021: 170.53, 08/31/2021: 165.96, 09/30/2021: 167.53, 10/31/2021: 173.78, 11/30/2021: 152.30, 12/31/2021: 163.60, 01/31/2022: 179.82, 02/28/2022: 194.54, 03/31/2022: 187.00, 04/30/2022: 174.71, 05/31/2022: 168.82, 06/30/2022: 138.62, 07/31/2022: 154.02, 08/31/2022: 152.00, 09/30/2022: 134.91, 10/31/2022: 148.45, 11/30/2022: 157.59, 12/31/2022: 147.75, 01/31/2023: 174.93, 02/28/2023: 173.99, 03/31/2023: 164.95, 04/30/2023: 161.34, 05/31/2023: 158.56, 06/30/2023: 174.20, 07/31/2023: 168.88, 08/31/2023: 157.99, 09/30/2023: 149.19, 10/31/2023: 146.03, 11/30/2023: 170.77, 12/31/2023: 187.34, 01/31/2024: 200.74, 02/29/2024: 219.42, 03/31/2024: 227.69, 04/30/2024: 234.03, 05/31/2024: 240.00, 06/30/2024: 231.55, 07/31/2024: 253.04, 08/31/2024: 258.65, 09/30/2024: 271.20, 10/31/2024: 270.08, 11/30/2024: 304.68, 12/31/2024: 296.79, 01/31/2025: 317.45, 02/28/2025: 300.96, 03/31/2025: 269.05, 04/30/2025: 266.41, 05/31/2025: 294.05, 06/30/2025: 296.42"
23,Zesty Paws,H&H Group,6078,HK,yfinance,"06/30/2020: 26.56, 07/31/2020: 31.73, 08/31/2020: 40.59, 09/30/2020: 46.21, 10/31/2020: 47.75, 11/30/2020: 48.79, 12/31/2020: 48.84, 01/31/2021: 59.64, 02/28/2021: 56.10, 03/31/2021: 56.15, 04/30/2021: 60.78, 05/31/2021: 89.33, 06/30/2021: 101.61, 07/31/2021: 77.25, 08/31/2021: 60.07, 09/30/2021: 57.88, 10/31/2021: 68.34, 11/30/2021: 60.42, 12/31/2021: 48.61, 01/31/2022: 34.92, 02/28/2022: 42.24, 03/31/2022: 30.43, 04/30/2022: 38.55, 05/31/2022: 43.38, 06/30/2022: 51.95, 07/31/2022: 44.98, 08/31/2022: 42.49, 09/30/2022: 44.18, 10/31/2022: 33.87, 11/30/2022: 48.66, 12/31/2022: 55.78, 01/31/2023: 61.71, 02/28/2023: 56.83, 03/31/2023: 55.59, 04/30/2023: 57.28, 05/31/2023: 45.87, 06/30/2023: 42.40, 07/31/2023: 50.35, 08/31/2023: 39.65, 09/30/2023: 43.90, 10/31/2023: 47.25, 11/30/2023: 48.10, 12/31/2023: 35.30, 01/31/2024: 25.35, 02/29/2024: 29.45, 03/31/2024: 31.90, 04/30/2024: 32.45, 05/31/2024: 32.75, 06/30/2024: 28.15, 07/31/2024: 21.05, 08/31/2024: 19.58, 09/30/2024: 23.70, 10/31/2024: 17.60, 11/30/2024: 16.04, 12/31/2024: 14.30, 01/31/2025: 12.70, 02/28/2025: 14.76, 03/31/2025: 13.44, 04/30/2025: 14.04, 05/31/2025: 15.32, 06/30/2025: 14.52"
24,Well people,"e.l.f. Beauty, Inc.",ELF,US,EODHD,"06/30/2020: 19.07, 07/31/2020: 17.86, 08/31/2020: 19.53, 09/30/2020: 18.37, 10/31/2020: 20.27, 11/30/2020: 21.74, 12/31/2020: 25.19, 01/31/2021: 21.76, 02/28/2021: 25.65, 03/31/2021: 26.83, 04/30/2021: 30.25, 05/31/2021: 28.00, 06/30/2021: 27.14, 07/31/2021: 27.61, 08/31/2021: 30.95, 09/30/2021: 29.05, 10/31/2021: 32.31, 11/30/2021: 30.12, 12/31/2021: 33.21, 01/31/2022: 29.56, 02/28/2022: 26.43, 03/31/2022: 25.83, 04/30/2022: 24.33, 05/31/2022: 26.62, 06/30/2022: 30.68, 07/31/2022: 33.53, 08/31/2022: 38.13, 09/30/2022: 37.62, 10/31/2022: 43.26, 11/30/2022: 54.96, 12/31/2022: 55.30, 01/31/2023: 57.55, 02/28/2023: 74.75, 03/31/2023: 82.35, 04/30/2023: 92.76, 05/31/2023: 104.02, 06/30/2023: 114.23, 07/31/2023: 116.72, 08/31/2023: 138.71, 09/30/2023: 109.83, 10/31/2023: 92.63, 11/30/2023: 118.09, 12/31/2023: 144.34, 01/31/2024: 159.53, 02/29/2024: 208.53, 03/31/2024: 196.03, 04/30/2024: 162.53, 05/31/2024: 186.91, 06/30/2024: 210.72, 07/31/2024: 172.58, 08/31/2024: 149.79, 09/30/2024: 109.03, 10/31/2024: 105.25, 11/30/2024: 129.52, 12/31/2024: 125.55, 01/31/2025: 99.91, 02/28/2025: 70.25, 03/31/2025: 62.79, 04/30/2025: 61.87, 05/31/2025: 112.49, 06/30/2025: 122.24"
25,Trupanion,"Trupanion, Inc.",TRUP,US,EODHD,"06/30/2020: 42.69, 07/31/2020: 50.57, 08/31/2020: 62.73, 09/30/2020: 78.90, 10/31/2020: 71.54, 11/30/2020: 101.38, 12/31/2020: 119.71, 01/31/2021: 112.20, 02/28/2021: 96.76, 03/31/2021: 76.21, 04/30/2021: 81.10, 05/31/2021: 90.17, 06/30/2021: 115.10, 07/31/2021: 115.02, 08/31/2021: 91.58, 09/30/2021: 77.67, 10/31/2021: 102.40, 11/30/2021: 123.32, 12/31/2021: 132.03, 01/31/2022: 95.25, 02/28/2022: 89.63, 03/31/2022: 89.12, 04/30/2022: 63.62, 05/31/2022: 66.88, 06/30/2022: 60.26, 07/31/2022: 63.03, 08/31/2022: 70.58, 09/30/2022: 59.43, 10/31/2022: 50.47, 11/30/2022: 52.27, 12/31/2022: 47.53, 01/31/2023: 59.02, 02/28/2023: 59.38, 03/31/2023: 42.89, 04/30/2023: 35.11, 05/31/2023: 22.47, 06/30/2023: 19.68, 07/31/2023: 30.85, 08/31/2023: 29.73, 09/30/2023: 28.20, 10/31/2023: 20.60, 11/30/2023: 25.72, 12/31/2023: 30.51, 01/31/2024: 27.20, 02/29/2024: 26.75, 03/31/2024: 27.61, 04/30/2024: 22.50, 05/31/2024: 29.87, 06/30/2024: 29.40, 07/31/2024: 37.06, 08/31/2024: 45.73, 09/30/2024: 41.98, 10/31/2024: 54.78, 11/30/2024: 53.31, 12/31/2024: 48.20, 01/31/2025: 47.44, 02/28/2025: 34.54, 03/31/2025: 37.27, 04/30/2025: 36.60, 05/31/2025: 47.19, 06/30/2025: 54.71"
26,Virbac,Virbac SA,VIRP,PA,EODHD,"06/30/2020: 195.00, 07/31/2020: 184.60, 08/31/2020: 188.00, 09/30/2020: 197.60, 10/31/2020: 199.80, 11/30/2020: 217.00, 12/31/2020: 238.00, 01/31/2021: 214.50, 02/28/2021: 202.50, 03/31/2021: 219.50, 04/30/2021: 270.00, 05/31/2021: 267.00, 06/30/2021: 289.00, 07/31/2021: 340.50, 08/31/2021: 358.00, 09/30/2021: 371.00, 10/31/2021: 437.50, 11/30/2021: 414.00, 12/31/2021: 424.50, 01/31/2022: 355.50, 02/28/2022: 366.00, 03/31/2022: 363.00, 04/30/2022: 386.00, 05/31/2022: 378.50, 06/30/2022: 371.50, 07/31/2022: 360.00, 08/31/2022: 370.00, 09/30/2022: 267.00, 10/31/2022: 248.00, 11/30/2022: 243.50, 12/31/2022: 228.00, 01/31/2023: 278.50, 02/28/2023: 283.00, 03/31/2023: 296.00, 04/30/2023: 309.50, 05/31/2023: 285.00, 06/30/2023: 270.50, 07/31/2023: 280.00, 08/31/2023: 276.00, 09/30/2023: 256.00, 10/31/2023: 271.00, 11/30/2023: 286.50, 12/31/2023: 359.50, 01/31/2024: 334.00, 02/29/2024: 332.00, 03/31/2024: 346.00, 04/30/2024: 347.00, 05/31/2024: 358.00, 06/30/2024: 326.50, 07/31/2024: 352.00, 08/31/2024: 347.50, 09/30/2024: 383.00, 10/31/2024: 347.50, 11/30/2024: 324.00, 12/31/2024: 316.50, 01/31/2025: 324.00, 02/28/2025: 304.50, 03/31/2025: 294.50, 04/30/2025: 310.15, 05/31/2025: 333.00, 06/30/2025: 323.00"
27,Petstock,Woolworths Group,WOW,AU,EODHD,"06/30/2020: 31.58, 07/31/2020: 32.77, 08/31/2020: 33.77, 09/30/2020: 30.86, 10/31/2020: 32.33, 11/30/2020: 31.33, 12/31/2020: 33.30, 01/31/2021: 34.61, 02/28/2021: 33.38, 03/31/2021: 34.62, 04/30/2021: 33.29, 05/31/2021: 35.26, 06/30/2021: 38.13, 07/31/2021: 38.76, 08/31/2021: 41.75, 09/30/2021: 39.35, 10/31/2021: 38.08, 11/30/2021: 40.82, 12/31/2021: 38.01, 01/31/2022: 34.42, 02/28/2022: 35.49, 03/31/2022: 37.26, 04/30/2022: 38.51, 05/31/2022: 34.65, 06/30/2022: 35.60, 07/31/2022: 37.52, 08/31/2022: 36.09, 09/30/2022: 33.95, 10/31/2022: 33.02, 11/30/2022: 34.47, 12/31/2022: 33.56, 01/31/2023: 36.08, 02/28/2023: 36.92, 03/31/2023: 37.90, 04/30/2023: 38.83, 05/31/2023: 37.54, 06/30/2023: 39.73, 07/31/2023: 38.62, 08/31/2023: 38.13, 09/30/2023: 37.32, 10/31/2023: 35.22, 11/30/2023: 34.90, 12/31/2023: 37.20, 01/31/2024: 36.01, 02/29/2024: 32.62, 03/31/2024: 33.17, 04/30/2024: 31.90, 05/31/2024: 31.60, 06/30/2024: 33.79, 07/31/2024: 34.50, 08/31/2024: 35.68, 09/30/2024: 33.30, 10/31/2024: 29.96, 11/30/2024: 30.18, 12/31/2024: 30.49, 01/31/2025: 30.46, 02/28/2025: 30.01, 03/31/2025: 29.55, 04/30/2025: 31.57, 05/31/2025: 31.85, 06/30/2025: 31.81"
28,Busuu,Chegg,CHGG,US,EODHD,"06/30/2020: 67.26, 07/31/2020: 80.97, 08/31/2020: 73.74, 09/30/2020: 71.44, 10/31/2020: 73.44, 11/30/2020: 77.93, 12/31/2020: 90.33, 01/31/2021: 95.26, 02/28/2021: 96.53, 03/31/2021: 85.66, 04/30/2021: 90.33, 05/31/2021: 76.91, 06/30/2021: 83.11, 07/31/2021: 88.63, 08/31/2021: 83.22, 09/30/2021: 68.02, 10/31/2021: 59.44, 11/30/2021: 27.85, 12/31/2021: 30.70, 01/31/2022: 26.47, 02/28/2022: 31.27, 03/31/2022: 36.28, 04/30/2022: 24.74, 05/31/2022: 19.46, 06/30/2022: 18.78, 07/31/2022: 21.30, 08/31/2022: 19.68, 09/30/2022: 21.07, 10/31/2022: 21.57, 11/30/2022: 29.84, 12/31/2022: 25.27, 01/31/2023: 20.76, 02/28/2023: 15.89, 03/31/2023: 16.30, 04/30/2023: 17.98, 05/31/2023: 8.98, 06/30/2023: 8.88, 07/31/2023: 10.13, 08/31/2023: 10.21, 09/30/2023: 8.92, 10/31/2023: 7.53, 11/30/2023: 9.93, 12/31/2023: 11.36, 01/31/2024: 9.85, 02/29/2024: 8.94, 03/31/2024: 7.57, 04/30/2024: 5.17, 05/31/2024: 3.83, 06/30/2024: 3.16, 07/31/2024: 3.41, 08/31/2024: 2.16, 09/30/2024: 1.77, 10/31/2024: 1.60, 11/30/2024: 2.11, 12/31/2024: 1.61, 01/31/2025: 1.54, 02/28/2025: 1.09, 03/31/2025: 0.64, 04/30/2025: 0.73, 05/31/2025: 1.02, 06/30/2025: 1.44"
